marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;mg;Vermelho;85000;6;Flex;2013;Manual;Nxe3o;Hatch;UNO VIVACE CELEB. 1.0 EVO F. FLEX 8V 3P;Mecxe2nica;2 portas;som;16900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-550807028?xtmc=fiat+uno&xtnp=42&xtcr=24;
FIAT;;mg;Prata;80000;6;Gasolina;1991;Manual;Nxe3o;Antigo;;Mecxe2nica;2 portas;;3500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550803837?xtmc=fiat+uno&xtnp=42&xtcr=25;
FIAT;UNO;mg;Prata;132000;0;Flex;2006;Manual;Sim;Passeio;UNO ATTRACTIVE 1.0 FLEX 6V 5P;;4 portas;vidro elxe9trico, trava elxe9trica, som;8900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550802423?xtmc=fiat+uno&xtnp=42&xtcr=26;
FIAT;UNO;mg;Cinza;36000;1;Flex;2012;Manual;Sim;Hatch;UNO ATTRACTI. CELEB.1.4 EVO F.FLEX 8V 4P;Hidrxe1ulica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;23900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550802875?xtmc=fiat+uno&xtnp=42&xtcr=27;
FIAT;UNO;mg;Preto;94123;9;Flex;2011;Manual;Nxe3o;Passeio;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;vidro elxe9trico, trava elxe9trica, alarme, som, sensor de rxe9;5000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-uno-way-1-0-financio-5mil-48-x-599-00-550799886?xtmc=fiat+uno&xtnp=42&xtcr=28;
FIAT;IDEA;mg;Preto;68000;;Flex;2015;Manual;Sim;Passeio;IDEA ELX 1.8 MPI FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som, sensor de rxe9;39990;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-impecavel-550762703?xtmc=fiat+uno&xtnp=42&xtcr=31;
FIAT;UNO;mg;Vermelho;100;4;Flex;2012;Manual;Nxe3o;Passeio;UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;24000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550759043?xtmc=fiat+uno&xtnp=42&xtcr=32;
FIAT;UNO;mg;Vermelho;160000;3;Gasolina;1994;Manual;Nxe3o;Passeio;UNO MILLE 1.0 ELECTRONIC 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico;7800;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550749869?xtmc=fiat+uno&xtnp=42&xtcr=33;
FIAT;UNO;mg;Preto;87000;7;Flex;2013;Manual;Sim;Passeio;UNO WAY CELEB. 1.4 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;vidro elxe9trico;19000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550730505?xtmc=fiat+uno&xtnp=42&xtcr=34;
FIAT;UNO;mg;;69600;3;Flex;2013;Manual;;Passeio;UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica;23895;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-1-0-flex-12-13-prata-cod-5373-460020647?xtmc=fiat+uno&xtnp=42&xtcr=35;
FIAT;UNO;mg;Cinza;100000;5;Flex;2013;Manual;Nxe3o;Passeio;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;24000;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550719297?xtmc=fiat+uno&xtnp=42&xtcr=36;
FIAT;UNO;mg;;41000;0;Flex;2016;Manual;;Passeio;UNO ATTRACTIVE 1.4 EVO FIRE FLEX 8V 4P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico;32900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-evo-attractive-8v-390493812?xtmc=fiat+uno&xtnp=42&xtcr=37;
FIAT;UNO;mg;;0;;Gasolina;2005;Manual;;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;;2 portas;trava elxe9trica, alarme;8500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550711684?xtmc=fiat+uno&xtnp=42&xtcr=38;
FIAT;UNO;mg;Cinza;165500;9;Gasolina;1994;Manual;Nxe3o;Passeio;UNO MILLE 1.0 ELECTRONIC 4P;Mecxe2nica;4 portas;alarme;7500;https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550711657?xtmc=fiat+uno&xtnp=42&xtcr=39;
FIAT;UNO;mg;Verde;90000;;Flex;2011;Manual;Sim;Hatch;UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P;Hidrxe1ulica;2 portas;alarme, trava elxe9trica, vidro elxe9trico, som;17900;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-11-12-unico-dono-550704611?xtmc=fiat+uno&xtnp=42&xtcr=40;
FIAT;UNO;mg;Branco;192000;;Flex;2007;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;;14000;https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550702683?xtmc=fiat+uno&xtnp=42&xtcr=41;
FIAT;UNO;mg;Branco;92000;2;Flex;2011;Manual;;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;trava elxe9trica, alarme, som, cxe2mera de rxe9;14990;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-1-0-fire-economy-flex-5p-abaixo-da-tabela-524736996?xtmc=fiat+uno&xtnp=42&xtcr=42;
FIAT;UNO;mg;;97000;2;Flex;2011;Manual;;Passeio;UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P;Hidrxe1ulica;4 portas;;19600;https://mg.olx.com.br/regiao-de-divinopolis/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-550691416?xtmc=fiat+uno&xtnp=42&xtcr=43;
FIAT;UNO;mg;Vermelho;204000;;Gasolina;1991;Manual;Nxe3o;Passeio;UNO MILLE 1.0/ I.E./ ELECTRONIC/  BRIO;Mecxe2nica;2 portas;alarme, som;4000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-basico-2p-550681825?xtmc=fiat+uno&xtnp=42&xtcr=45;
FIAT;UNO;mg;Verde;190000;1;Flex;2012;Manual;Nxe3o;Hatch;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;14000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-1-0-11-12-550674614?xtmc=fiat+uno&xtnp=42&xtcr=46;
FIAT;STILO;mg;Cinza;156;3;Flex;2006;Manual;Nxe3o;;STILO 1.8/ 1.8 CONNECT FLEX 8V 5P;Elxe9trica;4 portas;ar condicionado, trava elxe9trica, vidro elxe9trico, som;16000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-stilo-550657294?xtmc=fiat+uno&xtnp=42&xtcr=47;
FIAT;UNO;mg;Preto;55000;7;xc1lcool;1988;Manual;Nxe3o;Passeio;UNO CS/TOP/SPORT 1.5 I.E. / 1.5 /1.3;Mecxe2nica;2 portas;trava elxe9trica;7000;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/troco-troco-troco-550649299?xtmc=fiat+uno&xtnp=42&xtcr=48;
FIAT;UNO;mg;Cinza;126700;;Flex;2008;Manual;Sim;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;12800;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2007-2008-conservado-550648512?xtmc=fiat+uno&xtnp=42&xtcr=49;
FIAT;UNO;mg;Cinza;14000;3;Flex;2013;Manual;Sim;Hatch;UNO EVOLUTION 1.4 FIRE FLEX 8V 5P;Mecxe2nica;2 portas;;18500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-1-0-550644672?xtmc=fiat+uno&xtnp=42&xtcr=50;
FIAT;UNO;mg;Prata;90000;6;Flex;2011;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;;15900;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550644114?xtmc=fiat+uno&xtnp=43&xtcr=1;
FIAT;UNO;mg;Preto;0;6;Flex;2007;Manual;;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P;Mecxe2nica;2 portas;som;12000;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550641851?xtmc=fiat+uno&xtnp=43&xtcr=2;
FIAT;UNO;mg;Verde;179000;9;Flex;2010;Manual;Nxe3o;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Mecxe2nica;4 portas;vidro elxe9trico;16500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550641362?xtmc=fiat+uno&xtnp=43&xtcr=3;
FIAT;UNO;mg;Prata;88000;6;Flex;2012;Manual;;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;;4 portas;vidro elxe9trico, alarme, trava elxe9trica;19000;https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/autos-e-pecas/carros-vans-e-utilitarios/fiat-550638561?xtmc=fiat+uno&xtnp=43&xtcr=4;
FIAT;UNO;mg;Preto;68000;9;Flex;2015;Manual;Sim;Hatch;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som, sensor de rxe9, air bag;31300;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-way-2014-2015-550636298?xtmc=fiat+uno&xtnp=43&xtcr=5;
FIAT;UNO;mg;Cinza;178000;1;Gasolina;2000;Manual;;Hatch;UNO MILLE/ MILLE EX/ SMART 4P;Mecxe2nica;4 portas;trava elxe9trica, vidro elxe9trico, som;9200;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-smart-550634191?xtmc=fiat+uno&xtnp=43&xtcr=6;
FIAT;UNO;mg;Branco;126000;8;Flex;2010;Manual;Sim;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;;12999;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/vendo-fiat-uno-2010-way-fone-998158899-550625532?xtmc=fiat+uno&xtnp=43&xtcr=7;
FIAT;UNO;mg;Branco;30000;1;Flex;2015;Manual;Nxe3o;Hatch;UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som, sensor de rxe9;29000;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550616390?xtmc=fiat+uno&xtnp=43&xtcr=8;
FIAT;UNO;mg;;250000;;Gasolina;1991;Manual;Nxe3o;Antigo;;Mecxe2nica;2 portas;;7500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550612416?xtmc=fiat+uno&xtnp=43&xtcr=9;
;;mg;Preto;100;;;2001;;;;;;;;7500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-ex-2001-550610235?xtmc=fiat+uno&xtnp=43&xtcr=11;
FIAT;PALIO;mg;Cinza;89000;4;Flex;2008;Manual;Nxe3o;SUV;PALIO WEEKEND ADVENTURE LOCKER 1.8 FLEX;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som;26500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-fiat-palio-wekeend-adv-550601637?xtmc=fiat+uno&xtnp=43&xtcr=12;
FIAT;SIENA;mg;Vermelho;69300;3;Flex;2011;Manual;Nxe3o;Sedxe3;SIENA CELEBRATION 1.0 FIRE FLEX 8V 4P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico;20000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-siena-550597187?xtmc=fiat+uno&xtnp=43&xtcr=13;
FIAT;UNO;mg;Preto;65200;9;Flex;2014;Manual;Nxe3o;Hatch;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Mecxe2nica;4 portas;trava elxe9trica, air bag, alarme;23500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550588114?xtmc=fiat+uno&xtnp=43&xtcr=16;
FIAT;UNO;mg;Vermelho;0;;;1994;;;;;;;;3500;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-ano-94-r-3-500-00-550583526?xtmc=fiat+uno&xtnp=43&xtcr=17;
FIAT;UNO;mg;Branco;135000;3;Flex;2008;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P;Mecxe2nica;2 portas;ar condicionado;13000;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550583819?xtmc=fiat+uno&xtnp=43&xtcr=18;
FIAT;UNO;mg;Branco;69000;4;Flex;2014;Manual;Nxe3o;Passeio;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;23000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-novo-550571377?xtmc=fiat+uno&xtnp=43&xtcr=20;
FIAT;UNO;mg;Vermelho;93600;0;Flex;2008;Manual;Nxe3o;Passeio;UNO MILLE CELEB. WAY ECON. 1.0 F.FLEX 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;15000;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-2008-550566576?xtmc=fiat+uno&xtnp=43&xtcr=21;
FIAT;UNO;mg;Cinza;0;0;Flex;2011;Manual;Sim;Hatch;UNO ATTRACTI. CELEB.1.4 EVO F.FLEX 8V 4P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;22900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-4-attractive-unico-dono-550516423?xtmc=fiat+uno&xtnp=43&xtcr=23;
FIAT;UNO;mg;Prata;151000;4;Flex;2010;Manual;Nxe3o;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;17000;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550477726?xtmc=fiat+uno&xtnp=43&xtcr=24;
FIAT;UNO;mg;Branco;208000;6;Gasolina;1998;Manual;Nxe3o;Passeio;UNO MILLE EP 2P E 4P;Mecxe2nica;4 portas;som;7000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550473242?xtmc=fiat+uno&xtnp=43&xtcr=25;
FIAT;UNO;mg;Prata;134988;;Flex;2005;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;vidro elxe9trico, trava elxe9trica;12000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-faire-flex-550471097?xtmc=fiat+uno&xtnp=43&xtcr=26;
FIAT;UNO;mg;Prata;89000;7;Flex;2012;Manual;Sim;Hatch;UNO WAY CELEB. 1.4 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;22900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550449566?xtmc=fiat+uno&xtnp=43&xtcr=28;
FIAT;UNO;mg;Azul;109000;5;Flex;2013;Manual;;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som;21900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-528055352?xtmc=fiat+uno&xtnp=43&xtcr=31;
FIAT;UNO;mg;Preto;244000;3;Gasolina;2003;Manual;Nxe3o;;;;4 portas;alarme, ar condicionado, som;9900;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550416958?xtmc=fiat+uno&xtnp=43&xtcr=32;
FIAT;UNO;mg;Branco;88000;5;Flex;2013;Manual;Nxe3o;Hatch;UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som, sensor de rxe9;29000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550413131?xtmc=fiat+uno&xtnp=43&xtcr=33;
FIAT;UNO;mg;Cinza;0;9;Flex;2012;Manual;Nxe3o;;;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica;22900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-completo-550379509?xtmc=fiat+uno&xtnp=43&xtcr=34;
FIAT;UNO;mg;Preto;80000;7;Flex;2008;Manual;;;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;trava elxe9trica, alarme, som;12900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2008-flex-aceito-trocas-550374835?xtmc=fiat+uno&xtnp=43&xtcr=35;
FIAT;UNO;mg;;138;;Flex;2006;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;;10900;https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2006-550373935?xtmc=fiat+uno&xtnp=43&xtcr=36;
FIAT;UNO;mg;Verde;152000;5;Gasolina;2005;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P;Mecxe2nica;2 portas;alarme, trava elxe9trica, vidro elxe9trico, som;11000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-fire-1-0-550371358?xtmc=fiat+uno&xtnp=43&xtcr=37;
FIAT;UNO;mg;Branco;120;;Gasolina;2001;Manual;;Hatch;;Mecxe2nica;2 portas;;8500;https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550367089?xtmc=fiat+uno&xtnp=43&xtcr=38;
FIAT;UNO;mg;Branco;76002;4;Flex;2013;Manual;Nxe3o;Passeio;UNO WAY CELEB. 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;25700;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550356267?xtmc=fiat+uno&xtnp=43&xtcr=40;
FIAT;UNO;mg;Preto;130969;1;Flex;2008;Manual;;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;trava elxe9trica, vidro elxe9trico, som;11900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-fire-economy-1-0-flex-2008-2008-550329180?xtmc=fiat+uno&xtnp=43&xtcr=41;
FIAT;UNO;mg;Prata;86699;1;Flex;2012;Manual;;Passeio;UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme;27500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-4-evo-sporting-8v-flex-4p-manual-482313448?xtmc=fiat+uno&xtnp=43&xtcr=42;
FIAT;UNO;mg;Vermelho;0;;Flex;2014;Manual;Sim;Passeio;UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;22500;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-527651093?xtmc=fiat+uno&xtnp=43&xtcr=43;
FORD;CORCEL;mg;Outra;999999;1;Gasolina;1975;Manual;Nxe3o;Sedxe3;;Mecxe2nica;2 portas;;8000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-corcel-550299484?xtmc=fiat+uno&xtnp=43&xtcr=44;
FIAT;UNO;mg;Outra;111111111111111;0;Gasolina;1990;Manual;Nxe3o;Passeio;UNO S 1.5 I.E. / 1.5 / 1.3/ SX 1.3;Mecxe2nica;2 portas;;6000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550297282?xtmc=fiat+uno&xtnp=43&xtcr=45;
FIAT;UNO;mg;Branco;54502;6;Flex;2014;Manual;;Hatch;UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;31800;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-sporting-1-4-2014-527836842?xtmc=fiat+uno&xtnp=43&xtcr=46;
FIAT;UNO;mg;Prata;146000;5;Flex;2012;Manual;Nxe3o;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Mecxe2nica;4 portas;trava elxe9trica, vidro elxe9trico;16500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550281079?xtmc=fiat+uno&xtnp=43&xtcr=47;
FIAT;UNO;mg;Prata;80500;4;Flex;2010;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P;Mecxe2nica;2 portas;vidro elxe9trico, trava elxe9trica, alarme;13400;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-economy-2010-550274709?xtmc=fiat+uno&xtnp=43&xtcr=49;
FIAT;UNO;mg;Prata;169449;;Flex;2008;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;vidro elxe9trico, trava elxe9trica, alarme, som;14000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550271718?xtmc=fiat+uno&xtnp=43&xtcr=50;
FIAT;UNO;mg;Prata;51000;2;Flex;2012;Manual;Sim;Hatch;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Hidrxe1ulica;4 portas;vidro elxe9trico, trava elxe9trica, alarme, som;20000;https://mg.olx.com.br/regiao-de-divinopolis/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-550242058?xtmc=fiat+uno&xtnp=44&xtcr=1;
FIAT;UNO;mg;Cinza;0;0;Flex;2006;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;trava elxe9trica, vidro elxe9trico;9900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-06-vendo-ou-troco-550224694?xtmc=fiat+uno&xtnp=44&xtcr=3;
FIAT;UNO;mg;Azul;150000;0;Gasolina;1997;Manual;;;UNO MILLE SX 2P E 4P;;4 portas;som;6000;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-4-portas-1997-550206855?xtmc=fiat+uno&xtnp=44&xtcr=5;
FIAT;147;mg;Outra;25000;8;Gasolina;1983;Manual;Nxe3o;Antigo;147 C/ CL;Hidrxe1ulica;2 portas;;4500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-spazio-venda-ou-troca-550200796?xtmc=fiat+uno&xtnp=44&xtcr=6;
FIAT;UNO;mg;Outra;1;8;Gasolina;1996;Manual;Nxe3o;;UNO 1.6 MPI 2P E 4P;Mecxe2nica;2 portas;trava elxe9trica, som;5800;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno1-6-550177809?xtmc=fiat+uno&xtnp=44&xtcr=8;
