marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;mg;;38900;7;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;33260;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-520747519?xtmc=fiat+uno&xtnp=1&xtcr=17;
FIAT;UNO;mg;;36607;8;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;33260;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-512630027?xtmc=fiat+uno&xtnp=1&xtcr=18;
FIAT;UNO;mg;;34651;6;Flex;2017;Manual;;;UNO ATTRACTIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;30730;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-attractive-2017-538791252?xtmc=fiat+uno&xtnp=1&xtcr=19;
FIAT;UNO;mg;;45501;8;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;31980;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-544379104?xtmc=fiat+uno&xtnp=1&xtcr=20;
FIAT;UNO;mg;;42001;4;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;32050;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-537550818?xtmc=fiat+uno&xtnp=1&xtcr=21;
FIAT;PALIO;mg;Vermelho;126257;4;Flex;2010;Manual;Nxe3o;Passeio;PALIO 1.0 ECONOMY FIRE FLEX 8V 4P;Hidrxe1ulica;4 portas;vidro elxe9trico, trava elxe9trica, alarme, som, sensor de rxe9;17000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-555914571?xtmc=fiat+uno&xtnp=1&xtcr=22;
FIAT;UNO;mg;Prata;120200;9;Flex;2012;Manual;Nxe3o;Hatch;UNO WAY 1.0 FLEX 6V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som;22900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-1-0-8v-550371939?xtmc=fiat+uno&xtnp=1&xtcr=23;
FIAT;UNO;mg;Prata;66300;3;Flex;2016;Manual;;;UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, ar condicionado, trava elxe9trica, vidro elxe9trico;25900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-1-0-evo-fire-flex-4p-554419707?xtmc=fiat+uno&xtnp=1&xtcr=24;
FIAT;UNO;mg;Branco;120;0;Flex;2011;Manual;Nxe3o;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;20000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559330217?xtmc=fiat+uno&xtnp=1&xtcr=25;
FIAT;UNO;mg;Preto;1;6;Flex;2018;Manual;Sim;Hatch;UNO DRIVE 1.0 FLEX 6V 5P;Elxe9trica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;34020;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-drive-preto-526971729?xtmc=fiat+uno&xtnp=1&xtcr=26;
