marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;sp;Vermelho;68000;0;Flex;2012;Manual;Nxe3o;Hatch;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico;18800;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-celebretio-1-0-completo-558065390?xtmc=fiat+uno&xtnp=1&xtcr=24
FIAT;UNO;sp;Cinza;75000;1;Flex;2012;Manual;Nxe3o;Passeio;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;26500;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559329201?xtmc=fiat+uno&xtnp=1&xtcr=25
FIAT;UNO;sp;Prata;51000;6;Flex;2014;Manual;Sim;Hatch;UNO WAY 1.4 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico;29900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-535081538?xtmc=fiat+uno&xtnp=1&xtcr=26
FIAT;UNO;sp;Verde;203730;5;Gasolina;1994;Manual;Nxe3o;;;Mecxe2nica;2 portas;vidro elxe9trico, som;5300;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-eletronic-559324591?xtmc=fiat+uno&xtnp=1&xtcr=28
FIAT;UNO;sp;Cinza;141987;9;Flex;2011;Manual;Nxe3o;Hatch;UNO ATTRACTI. CELEB.1.4 EVO F.FLEX 8V 4P;Hidrxe1ulica;4 portas;vidro elxe9trico, trava elxe9trica, alarme;22900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-attractive-1-4-flex-celebration-500167337?xtmc=fiat+uno&xtnp=1&xtcr=29
FIAT;UNO;sp;;30012;1;Flex;2018;Manual;;;;;4 portas;;36490;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-manual-530785149?xtmc=fiat+uno&xtnp=1&xtcr=30
FIAT;UNO;sp;;33919;0;Flex;2017;Manual;;;;;4 portas;;33890;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-attractive-4p-manual-553529808?xtmc=fiat+uno&xtnp=1&xtcr=31
FIAT;UNO;sp;;23000;5;Flex;2017;Manual;;;;;4 portas;;33890;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-attractive-4p-manual-538866557?xtmc=fiat+uno&xtnp=1&xtcr=32
FIAT;UNO;sp;;27000;7;Flex;2018;Manual;;;;;4 portas;;36490;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-manual-538870432?xtmc=fiat+uno&xtnp=1&xtcr=33
FIAT;UNO;sp;Outra;85000;8;Flex;2013;Manual;Sim;Hatch;UNO WAY 1.0 FLEX 6V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som;23500;https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-1-0-12-13-4-portas-sem-detalhes-unico-dono-548393853?xtmc=fiat+uno&xtnp=1&xtcr=34
FIAT;UNO;sp;Branco;72000;4;Flex;2013;Manual;Sim;Hatch;UNO WAY CELEB. 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;vidro elxe9trico, trava elxe9trica, alarme, som;21800;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-1-0-flex-novo-534960978?xtmc=fiat+uno&xtnp=1&xtcr=35
FIAT;UNO;sp;Branco;25175;4;Flex;2016;Manual;;Hatch;UNO ATTRACTIVE 1.0 FLEX 6V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;29800;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-attractive-completo-com-apenas-25-mil-km-novo-2016-555085908?xtmc=fiat+uno&xtnp=1&xtcr=36
FIAT;UNO;sp;;46400;9;Flex;2016;Manual;;;;;2 portas;;26490;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-evo-vivace-8v-flex-2p-manual-554480356?xtmc=fiat+uno&xtnp=1&xtcr=37
FIAT;UNO;sp;Azul;133891;;Gasolina;1996;Manual;Sim;Hatch;UNO MILLE EP 2P E 4P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;4500;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-1-0-ep-8v-ie-gasolina-2p-manual-559318904?xtmc=fiat+uno&xtnp=1&xtcr=38
FIAT;UNO;sp;Prata;32000;3;Flex;2017;Manual;;Hatch;UNO ATTRACTIVE 1.0 FLEX 6V 5P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico;30900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-attractive-flex-4-portas-2017-completo-baixo-km-559319091?xtmc=fiat+uno&xtnp=1&xtcr=39
FIAT;UNO;sp;Preto;37882;7;Flex;2018;Manual;Sim;Hatch;UNO DRIVE 1.0 FLEX 6V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;34800;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-544272933?xtmc=fiat+uno&xtnp=1&xtcr=40
FIAT;UNO;sp;;16200;5;Flex;2018;Manual;;Passeio;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;air bag, ar condicionado, trava elxe9trica, vidro elxe9trico;32900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2017-2018-1-0-firefly-flex-drive-4p-manual-547175008?xtmc=fiat+uno&xtnp=1&xtcr=41
FIAT;UNO;sp;Cinza;95000;;Flex;2014;Manual;Nxe3o;Passeio;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;23000;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559313372?xtmc=fiat+uno&xtnp=1&xtcr=43
FIAT;UNO;sp;Preto;18620;0;Flex;2018;Manual;Sim;Passeio;;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag;33490;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-manual-557871751?xtmc=fiat+uno&xtnp=1&xtcr=44
FIAT;UNO;sp;Preto;19000;8;Gasolina;1991;Manual;Nxe3o;Passeio;UNO 1.6R MPI / 1.6R / 1.5R;Mecxe2nica;2 portas;ar condicionado, som;2500;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mile-1-0-91-gasolina-andando-pfto-559314179?xtmc=fiat+uno&xtnp=1&xtcr=45
